/usr/lib/arm-linux-gnueabihf/libpango-1.0.so.0.3000.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x6f62e54a81a9f89e3bdd99bda4ff3d76a340c7d4, stripped
/usr/lib/arm-linux-gnueabihf/libfreetype.so.6.8.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xa4ce5700420c64d7c5591d7d3c8f175c3799a900, stripped
/usr/lib/arm-linux-gnueabihf/libfontconfig.so.1.5.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xc78030f1edf30baaab1b80d5ce37cd52b4636ba8, stripped
/usr/lib/arm-linux-gnueabihf/libXext.so.6.4.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xbb76b76cadb108cda2aa3986b7fe05472a514832, stripped
/usr/lib/arm-linux-gnueabihf/libXrender.so.1.3.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xf604025125c743bf82622532f59c2d35f3833f66, stripped
/usr/lib/arm-linux-gnueabihf/libXinerama.so.1.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x1ffc6827d70106e78ddf9f1afef59d7555c35bb0, stripped
/usr/lib/arm-linux-gnueabihf/libXi.so.6.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x334d669ba273e07cf5fdabed28715af2a4abd22c, stripped
/usr/lib/arm-linux-gnueabihf/libXrandr.so.2.2.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x67476c4b4b28c7a4e129f893f03691b6a301e64f, stripped
/usr/lib/arm-linux-gnueabihf/libXcursor.so.1.0.2: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x3dab5eee28fff5a7199102f40c74206224ff0a19, stripped
/usr/lib/arm-linux-gnueabihf/libgthread-2.0.so.0.3200.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x935c55c16a92ea3090b70e0cf527901552467a67, stripped
/usr/lib/arm-linux-gnueabihf/libffi.so.5.0.10: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xbcfb9a7bf89c24ff1ca01a8e87fdb349fd46d757, stripped
/lib/arm-linux-gnueabihf/libpcre.so.3.13.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x0a5e2146798aeac6372ba4bdfdf463eabb5b5531, stripped
/usr/lib/arm-linux-gnueabihf/libxvidcore.so.4.3: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xd9d0b3ed5d8c1bbb02f4518c686c64d85df8b6d3, stripped
/usr/lib/arm-linux-gnueabihf/libx264.so.123: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xff7a24e0247b9a8f463a869d2cf212559bf73582, stripped
/usr/lib/arm-linux-gnueabihf/libvpx.so.1.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x772dc91a933304b369f4f60a1325c33ab2569c82, stripped
/usr/lib/arm-linux-gnueabihf/libvorbisenc.so.2.0.8: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x0d9a0481e16f9e916e58c9ad525edb376e46dff7, stripped
/usr/lib/arm-linux-gnueabihf/libvorbis.so.0.4.5: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xee0c9f7a1af2345a9a8fd9949ddbca14928e4fe5, stripped
/usr/lib/arm-linux-gnueabihf/libtheoraenc.so.1.1.2: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xc75dcec21e9c7897080d30829634359880fbb8f2, stripped
/usr/lib/arm-linux-gnueabihf/libtheoradec.so.1.1.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x54a25f0108504b686376d15740c46785e5d3209a, stripped
/usr/lib/arm-linux-gnueabihf/libspeex.so.1.5.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x2c659c7bcede7adc9b707ca019c3c6a35f75e16d, stripped
